,,Kappa Values for lines of contstant kappa (1.0 down to 0.001),,,,,,,,,,,,,,,,,,,,,,,,,,,
Diameter (m),Diameter (nm),k = 1,k = 0.9,k = 0.8,k = 0.7,k = 0.6,k = 0.5,k = 0.4,k = 0.3,k = 0.2,k = 0.1,k = 0.09,k = 0.08,k = 0.07,k = 0.06,k = 0.05,k = 0.04,k = 0.03,k = 0.02,k = 0.01,k = 0.009,k = 0.008,k = 0.007,k = 0.006,k = 0.005,k = 0.004,k = 0.003,k = 0.002,k = 0.001
2.60E-07,260,0.028,0.0295,0.0313,0.0335,0.0362,0.0396,0.0443,0.0511,0.0626,0.0884,0.0932,0.0988,0.1055,0.1139,0.1246,0.1389,0.1598,0.1938,0.2648,0.2769,0.2907,0.3068,0.3258,0.3487,0.3772,0.4139,0.4645,0.5437
2.72E-07,272,0.0261,0.0275,0.0292,0.0312,0.0337,0.0369,0.0413,0.0477,0.0584,0.0825,0.0869,0.0921,0.0984,0.1062,0.1162,0.1296,0.1491,0.1809,0.2477,0.2591,0.2722,0.2875,0.3055,0.3273,0.3543,0.3894,0.4379,0.5142
2.85E-07,285,0.0244,0.0257,0.0272,0.0291,0.0314,0.0344,0.0385,0.0445,0.0544,0.0769,0.081,0.0859,0.0918,0.0991,0.1084,0.121,0.1392,0.169,0.2317,0.2425,0.2549,0.2693,0.2863,0.307,0.3328,0.3663,0.4127,0.4862
2.98E-07,298,0.0227,0.0239,0.0254,0.0272,0.0293,0.0321,0.0359,0.0415,0.0508,0.0717,0.0756,0.0801,0.0856,0.0924,0.1011,0.1129,0.1299,0.1578,0.2167,0.2269,0.2386,0.2522,0.2684,0.288,0.3125,0.3444,0.3889,0.4597
3.13E-07,313,0.0212,0.0223,0.0237,0.0253,0.0273,0.03,0.0335,0.0387,0.0474,0.0669,0.0705,0.0748,0.0799,0.0862,0.0943,0.1053,0.1212,0.1473,0.2027,0.2123,0.2233,0.2361,0.2514,0.27,0.2933,0.3238,0.3664,0.4345
3.27E-07,327,0.0198,0.0208,0.0221,0.0236,0.0255,0.0279,0.0312,0.0361,0.0442,0.0624,0.0658,0.0697,0.0745,0.0804,0.088,0.0982,0.1131,0.1375,0.1895,0.1985,0.2089,0.2211,0.2355,0.2532,0.2753,0.3044,0.3451,0.4106
3.43E-07,343,0.0184,0.0194,0.0206,0.022,0.0238,0.0261,0.0291,0.0336,0.0412,0.0582,0.0613,0.065,0.0695,0.075,0.0821,0.0917,0.1055,0.1284,0.1772,0.1857,0.1955,0.2069,0.2206,0.2373,0.2583,0.286,0.325,0.388
3.59E-07,359,0.0172,0.0181,0.0192,0.0205,0.0222,0.0243,0.0272,0.0314,0.0384,0.0543,0.0572,0.0607,0.0648,0.07,0.0766,0.0855,0.0985,0.1198,0.1656,0.1736,0.1828,0.1937,0.2066,0.2224,0.2424,0.2687,0.306,0.3665
3.76E-07,376,0.016,0.0169,0.0179,0.0192,0.0207,0.0227,0.0253,0.0293,0.0358,0.0506,0.0534,0.0566,0.0605,0.0653,0.0714,0.0798,0.0919,0.1119,0.1548,0.1623,0.171,0.1812,0.1934,0.2084,0.2273,0.2524,0.288,0.3461
3.94E-07,394,0.0149,0.0158,0.0167,0.0179,0.0193,0.0211,0.0236,0.0273,0.0334,0.0472,0.0498,0.0528,0.0564,0.0609,0.0666,0.0744,0.0857,0.1044,0.1447,0.1517,0.1599,0.1695,0.1811,0.1952,0.2132,0.237,0.271,0.3268
4.13E-07,413,0.0139,0.0147,0.0156,0.0167,0.018,0.0197,0.022,0.0254,0.0312,0.044,0.0464,0.0492,0.0526,0.0568,0.0622,0.0694,0.08,0.0975,0.1352,0.1418,0.1495,0.1586,0.1695,0.1828,0.1998,0.2225,0.255,0.3085
4.33E-07,433,0.013,0.0137,0.0145,0.0155,0.0168,0.0184,0.0206,0.0237,0.0291,0.0411,0.0433,0.0459,0.0491,0.053,0.058,0.0648,0.0746,0.0909,0.1263,0.1326,0.1398,0.1483,0.1586,0.1712,0.1873,0.2088,0.2398,0.2912
4.53E-07,453,0.0121,0.0128,0.0136,0.0145,0.0156,0.0171,0.0192,0.0221,0.0271,0.0383,0.0404,0.0428,0.0458,0.0494,0.0541,0.0604,0.0696,0.0849,0.118,0.1239,0.1307,0.1387,0.1484,0.1603,0.1755,0.196,0.2255,0.2748
4.75E-07,475,0.0113,0.0119,0.0126,0.0135,0.0146,0.016,0.0179,0.0206,0.0253,0.0357,0.0377,0.0399,0.0427,0.0461,0.0504,0.0563,0.0649,0.0792,0.1102,0.1157,0.1221,0.1297,0.1388,0.1501,0.1645,0.1839,0.212,0.2593
4.98E-07,498,0.0105,0.0111,0.0118,0.0126,0.0136,0.0149,0.0167,0.0192,0.0236,0.0333,0.0351,0.0372,0.0398,0.043,0.0471,0.0526,0.0606,0.0739,0.103,0.1081,0.1141,0.1212,0.1298,0.1404,0.1541,0.1725,0.1993,0.2445
5.21E-07,521,0.0098,0.0104,0.011,0.0118,0.0127,0.0139,0.0155,0.018,0.022,0.0311,0.0328,0.0347,0.0371,0.0401,0.0439,0.049,0.0565,0.069,0.0962,0.101,0.1067,0.1133,0.1214,0.1314,0.1443,0.1617,0.1872,0.2306
5.46E-07,546,0.0092,0.0097,0.0103,0.011,0.0118,0.013,0.0145,0.0167,0.0205,0.029,0.0305,0.0324,0.0346,0.0374,0.0409,0.0457,0.0527,0.0644,0.0898,0.0944,0.0997,0.1059,0.1135,0.123,0.1351,0.1516,0.1759,0.2174
